name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1038;0;1061;3055;1848;3055;1825;0
header;205;165;205;203;1829;203;1829;165
A;1490;233;1490;238;1494;238;1494;233
A;1303;371;1303;373;1305;373;1305;371
D;1526;584;1526;609;1555;609;1555;584
A;1305;1134;1305;1139;1310;1139;1310;1134
A;1824;1272;1824;1286;1831;1286;1831;1272
D;1343;1541;1343;1557;1352;1557;1352;1541
A;1751;2110;1751;2118;1761;2118;1761;2110
A;1833;2267;1833;2291;1847;2291;1847;2267
A;1651;2500;1651;2516;1659;2516;1659;2500
A;1719;2584;1719;2608;1733;2608;1733;2584
B;1509;2591;1509;2607;1517;2607;1517;2591
A;1619;2873;1619;2875;1621;2875;1621;2873
A;1063;2912;1063;2914;1065;2914;1065;2912
