name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;251;0;343;3061;1114;3061;1068;0
header;237;165;237;209;1866;209;1866;165
A;783;210;783;212;785;212;785;210
A;1035;241;1035;267;1057;267;1057;241
B;734;524;734;540;742;540;742;524
A;360;660;360;676;368;676;368;660
B;1048;907;1048;934;1069;934;1069;907
A;942;1022;942;1037;950;1037;950;1022
B;1023;1067;1023;1083;1032;1083;1032;1067
B;474;1567;474;1584;483;1584;483;1567
C;1054;1571;1054;1600;1075;1600;1075;1571
A;584;1859;584;1870;591;1870;591;1859
A;364;2045;364;2057;371;2057;371;2045
B;622;2071;622;2086;643;2086;643;2071
B;687;2080;687;2097;696;2097;696;2080
D;1065;2238;1065;2265;1088;2265;1088;2238
A;484;2674;484;2690;492;2690;492;2674
B;964;2748;964;2775;984;2775;984;2748
B;923;2749;923;2765;944;2765;944;2749
B;588;2752;588;2767;609;2767;609;2752
A;482;2831;482;2835;487;2835;487;2831
