name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;939;0;916;3059;1756;3059;1779;0
header;158;106;158;138;1777;138;1777;106
A;957;169;957;196;979;196;979;169
B;1089;583;1089;598;1097;598;1097;583
A;1040;717;1040;732;1047;732;1047;717
A;1563;717;1563;732;1571;732;1571;717
B;952;840;952;867;971;867;971;840
B;1189;902;1189;917;1198;917;1198;902
A;1473;1139;1473;1150;1480;1150;1480;1139
C;940;1585;940;1613;960;1613;960;1585
D;939;2254;939;2281;960;2281;960;2254
A;1319;2297;1319;2312;1327;2312;1327;2297
B;1675;2345;1675;2360;1683;2360;1683;2345
