name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;730;0;501;3057;1676;3057;1214;0
header;458;336;458;413;1607;413;1607;336
D;998;679;998;712;1026;712;1026;679
D;1079;679;1079;712;1106;712;1106;679
D;920;679;920;713;947;713;947;679
C;1183;680;1183;714;1208;714;1208;680
A;1217;680;1217;712;1243;712;1243;680
C;1118;680;1118;712;1144;712;1144;680
C;800;680;800;714;826;714;826;680
B;839;681;839;715;867;715;867;681
B;880;681;880;714;909;714;909;681
D;1040;681;1040;713;1065;713;1065;681
D;733;681;733;714;761;714;761;681
B;1158;681;1158;713;1169;713;1169;681
B;674;682;674;715;696;715;696;682
B;954;1589;954;1608;987;1608;987;1589
B;1154;1589;1154;1609;1187;1609;1187;1589
A;657;1762;657;1788;678;1788;678;1762
B;1238;1807;1238;1844;1265;1844;1265;1807
D;607;1808;607;1848;637;1848;637;1808
B;649;1809;649;1850;679;1850;679;1809
B;821;1809;821;1851;849;1851;849;1809
C;1145;1809;1145;1848;1176;1848;1176;1809
A;690;1810;690;1849;718;1849;718;1810
B;977;1810;977;1848;1005;1848;1005;1810
B;1067;1810;1067;1848;1103;1848;1103;1810
A;946;1825;946;1832;962;1832;962;1825
A;1016;1839;1016;1849;1026;1849;1026;1839
B;1220;2058;1220;2077;1253;2077;1253;2058
B;1200;2339;1200;2359;1223;2359;1223;2339
B;762;2377;762;2396;794;2396;794;2377
A;1586;2720;1586;2723;1589;2723;1589;2720
