name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;854;0;809;3053;1819;3053;1841;0
header;202;148;202;185;1838;185;1838;148
A;1010;212;1010;239;1030;239;1030;212
C;906;354;906;373;920;373;920;354
A;1512;587;1512;603;1520;603;1520;587
D;987;634;987;648;995;648;995;634
A;1543;678;1543;686;1550;686;1550;678
D;1208;679;1208;697;1215;697;1215;679
B;1289;771;1289;787;1298;787;1298;771
A;1027;775;1027;777;1029;777;1029;775
A;1512;817;1512;832;1520;832;1520;817
B;1404;863;1404;880;1414;880;1414;863
B;1012;883;1012;910;1033;910;1033;883
A;1050;1045;1050;1060;1058;1060;1058;1045
A;1113;1091;1113;1107;1121;1107;1121;1091
A;929;1148;929;1160;936;1160;936;1148
C;1009;1552;1009;1579;1030;1579;1030;1552
B;1125;1824;1125;1840;1134;1840;1134;1824
A;1331;1825;1331;1840;1339;1840;1339;1825
B;1742;1871;1742;1886;1751;1886;1751;1871
A;1704;2007;1704;2013;1709;2013;1709;2007
D;1012;2219;1012;2245;1031;2245;1031;2219
B;1716;2831;1716;2847;1738;2847;1738;2831
A;1260;2870;1260;2895;1265;2895;1265;2870
B;1222;2871;1222;2886;1240;2886;1240;2871
A;965;2877;965;2881;970;2881;970;2877
B;1104;2878;1104;2896;1119;2896;1119;2878
