name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;391;0;273;3051;1002;3051;911;0
header;254;189;254;224;1874;224;1874;189
A;878;271;878;282;885;282;885;271
A;622;696;622;700;627;700;627;696
B;608;714;608;729;617;729;617;714
A;502;894;502;909;510;909;510;894
A;775;951;775;963;782;963;782;951
B;358;985;358;1001;367;1001;367;985
B;915;987;915;1006;930;1006;930;987
B;894;1355;894;1374;907;1374;907;1355
A;489;1627;489;1642;497;1642;497;1627
D;322;2299;322;2313;332;2313;332;2299
A;344;2306;344;2311;349;2311;349;2306
A;285;2742;285;2757;296;2757;296;2742
A;938;2799;938;2801;939;2801;939;2799
