name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1019;0;927;3061;1866;3061;1843;0
header;205;91;205;131;1843;131;1843;91
A;1006;158;1006;185;1029;185;1029;158
B;1825;205;1825;219;1838;219;1838;205
A;1228;302;1228;309;1234;309;1234;302
D;1829;432;1829;449;1843;449;1843;432
A;1390;437;1390;443;1397;443;1397;437
A;1428;437;1428;453;1436;453;1436;437
A;1587;472;1587;497;1601;497;1601;472
A;1733;612;1733;619;1739;619;1739;612
D;1258;805;1258;821;1267;821;1267;805
B;1021;837;1021;864;1042;864;1042;837
A;1327;849;1327;855;1332;855;1332;849
B;1361;896;1361;911;1370;911;1370;896
A;1458;996;1458;1008;1466;1008;1466;996
A;1194;1080;1194;1086;1200;1086;1200;1080
A;1220;1080;1220;1096;1228;1096;1228;1080
B;1839;1116;1839;1132;1849;1132;1849;1116
B;1750;1290;1750;1316;1781;1316;1781;1290
A;1314;1383;1314;1385;1316;1385;1316;1383
A;1292;1400;1292;1407;1299;1407;1299;1400
A;1839;1437;1839;1452;1847;1452;1847;1437
C;1020;1508;1020;1536;1040;1536;1040;1508
A;1337;1721;1337;1727;1342;1727;1342;1721
B;1514;1902;1514;1918;1523;1918;1523;1902
C;1157;2082;1157;2109;1176;2109;1176;2082
D;1024;2086;1024;2112;1046;2112;1046;2086
A;958;2147;958;2159;965;2159;965;2147
B;1510;2360;1510;2375;1519;2375;1519;2360
B;1624;2759;1624;2774;1645;2774;1645;2759
B;1066;2764;1066;2779;1090;2779;1090;2764
