name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;95;0;348;3055;902;3055;925;0
header;60;140;60;185;1705;185;1705;140
A;880;223;880;250;900;250;900;223
A;155;631;155;637;163;637;163;631
A;543;681;543;686;548;686;548;681
A;320;910;320;915;326;915;326;910
B;880;913;880;942;903;942;903;913
A;641;961;641;968;647;968;647;961
C;873;1601;873;1629;895;1629;895;1601
A;732;1629;732;1632;734;1632;734;1629
B;426;1934;426;1950;435;1950;435;1934
D;872;2274;872;2301;893;2301;893;2274
A;402;2339;402;2339;402;2339;402;2339
A;750;2756;750;2756;751;2756;751;2756
A;609;2888;609;2903;618;2903;618;2888
A;378;2987;378;2989;380;2989;380;2987
