name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;61;0;415;3055;906;3055;906;0
header;64;146;64;189;1694;189;1694;146
A;873;212;873;237;896;237;896;212
B;800;252;800;278;821;278;821;252
C;836;253;836;280;854;280;854;253
A;842;300;842;326;856;326;856;300
C;153;755;153;781;170;781;170;755
B;311;755;311;781;330;781;330;755
C;352;756;352;782;369;782;369;756
C;493;757;493;784;513;784;513;757
C;530;758;530;784;549;784;549;758
B;675;759;675;784;698;784;698;759
C;724;759;724;785;741;785;741;759
B;870;883;870;910;889;910;889;883
B;702;1359;702;1375;710;1375;710;1359
B;402;1449;402;1463;410;1463;410;1449
C;867;1550;867;1579;888;1579;888;1550
B;421;1680;421;1698;448;1698;448;1680
A;459;1680;459;1687;465;1687;465;1680
B;277;1762;277;1788;300;1788;300;1762
C;317;1762;317;1788;334;1788;334;1762
D;870;2219;870;2249;895;2249;895;2219
A;593;2504;593;2510;598;2510;598;2504
A;556;2990;556;2991;558;2991;558;2990
