name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;77;0;100;3053;1177;3053;1131;0
header;52;93;52;124;1676;124;1676;93
A;860;159;860;185;880;185;880;159
B;857;837;857;865;877;865;877;837
A;262;856;262;868;268;868;268;856
B;1119;1257;1119;1274;1128;1274;1128;1257
B;547;1261;547;1277;556;1277;556;1261
A;519;1299;519;1324;533;1324;533;1299
A;172;1351;172;1366;180;1366;180;1351
A;856;1462;856;1462;859;1462;859;1462
B;573;1490;573;1507;582;1507;582;1490
C;860;1504;860;1532;880;1532;880;1504
D;1122;1809;1122;1837;1143;1837;1143;1809
A;398;2138;398;2138;398;2138;398;2138
D;868;2179;868;2206;889;2206;889;2179
A;502;2482;502;2482;502;2482;502;2482
A;295;2785;295;2786;295;2786;295;2785
B;103;2807;103;2821;122;2821;122;2807
A;652;2828;652;2839;656;2839;656;2828
A;399;2917;399;2920;403;2920;403;2917
A;105;2981;105;2984;108;2984;108;2981
