name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;463;0;623;3055;1830;3055;1853;0
header;211;82;211;120;1851;120;1851;82
A;847;50;847;54;850;54;850;50
A;1012;153;1012;182;1037;182;1037;153
B;619;198;619;218;635;218;635;198
B;1016;836;1016;864;1038;864;1038;836
B;749;1166;749;1182;757;1182;757;1166
D;1748;1342;1748;1367;1778;1367;1778;1342
B;1830;1394;1830;1410;1841;1410;1841;1394
C;1012;1513;1012;1544;1034;1544;1034;1513
A;1525;1998;1525;2005;1531;2005;1531;1998
D;1013;2167;1013;2196;1036;2196;1036;2167
B;645;2492;645;2511;660;2511;660;2492
A;1462;2816;1462;2835;1474;2835;1474;2816
